Startup_Name,Industry,Business_Model,Target_Market_Size,Budget_INR,Employees_Count,Founder_Experience_Years,Project_Description,Success_Probability,Success_Status,Financial_Risk,Market_Risk,Technical_Risk,Business_Risk,Regulatory_Risk,Overall_Risk_Score
VortexSystems822,Real Estate,Other,Medium,47493,2,0,A technology-driven Other platform focused on medium real estate operations.,47,0,51.905188,46.12289,43.732421,49.127687,44.458979,58
Terra Edge,Finance,B2C,Medium,17830,1,1,A scalable financial solution targeting medium consumers.,50,1,49.740334,50.955635,51.930746,53.034699,43.512627,55
Meteor Sphere,SaaS,SaaS,Large,1573101,62,10,A technology-driven SaaS platform focused on large software operations.,95,1,22.694483,38.077968,38.050258,30.214777,40.311554,10
VectorSync358,Real Estate,Advertising,Medium,11742,2,1,A technology-driven Advertising platform focused on medium real estate operations.,49,0,46.410202,47.101483,47.738308,48.202781,41.34898,56
Solar-Tech,Healthcare,Subscription,Large,5968723,144,12,A scalable healthcare solution targeting large subscribers.,95,1,23.746867,34.9628,40.918754,36.850515,35.7414,10
CyberX895,Healthcare,SaaS,Large,1190857,89,15,A digital healthcare platform using a SaaS model for large organizations.,95,1,30.150782,30.433055,38.177907,31.559009,37.452927,10
StellarDynamo246,SaaS,Marketplace,Large,795629,32,10,A digital software platform using a Marketplace model for large buyers and sellers.,95,1,22.816529,35.963057,36.840688,32.489141,33.225271,10
SilverPath,Technology,SaaS,Small,154427,13,3,A modern technology venture delivering solutions for small organizations.,85,1,31.082485,32.177021,37.218269,33.730413,40.816029,20
PixelPath,Technology,SaaS,Large,7361017,121,15,A scalable technology solution targeting large organizations.,95,1,23.849382,29.979763,39.256766,32.862321,37.479331,10
AstraIgnite881,Finance,Other,Small,49491,2,1,A digital financial platform using a Other model for small customers.,48,0,47.291306,50.513485,49.45415,50.490635,49.988791,57
Solar Pulse,Retail,Marketplace,Small,133732,18,10,An AI-powered Marketplace retail solution for small buyers and sellers.,76,1,34.716756,40.424944,37.295496,38.465974,37.451593,29
StellarDynamo844,Real Estate,Advertising,Small,39895,1,2,A Advertising real estate platform serving small audiences.,54,1,49.958894,49.625926,50.092813,45.881783,45.685916,51
Vertex-Path,E-commerce,B2B,Large,1743708,200,15,An AI-powered B2B e-commerce solution for large businesses.,95,1,27.566319,33.686869,33.498405,34.084655,37.231873,10
Spectra-Wave,Finance,Freemium,Small,225720,28,4,A scalable financial solution targeting small users.,81,1,38.565847,39.004507,41.69361,36.047548,35.679137,24
FusionFlow851,Technology,B2B,Large,1767014,34,8,A B2B technology platform serving large businesses.,95,1,31.970032,34.366695,36.034114,36.985457,33.648664,10
Omega Vision,Retail,Advertising,Small,66506,6,0,A technology-driven Advertising platform focused on small retail operations.,58,1,48.06038,42.919695,44.901335,45.592266,45.94319,47
HyperSphere154,SaaS,SaaS,Large,1084991,301,17,A digital software platform using a SaaS model for large organizations.,95,1,27.17466,31.796765,34.169349,35.381293,33.084631,10
Fusion Works,Other,Other,Small,306361,10,8,A digital digital services platform using a Other model for small customers.,76,1,36.593079,38.901137,40.712799,41.273154,43.667371,29
FusionIgnite4066,Transportation,Freemium,Medium,228859,50,6,A scalable transportation solution targeting medium users.,87,1,28.076616,38.166166,34.679092,30.266574,32.679254,18
OmegaVision8629,Technology,SaaS,Large,3064019,119,11,An AI-powered SaaS technology solution for large organizations.,95,1,31.460668,36.796629,34.509931,33.490414,32.499736,10
CrimsonSync705,Food & Beverage,Other,Small,186118,13,7,A scalable food and beverage solution targeting small customers.,74,1,40.54088,45.317265,45.946686,41.739323,39.669848,31
Vector Drive,Healthcare,Freemium,Small,300487,4,4,A scalable healthcare solution targeting small users.,83,1,32.164135,35.099743,35.105958,33.895533,38.986457,22
TitanHub315,SaaS,Freemium,Small,394022,7,9,An AI-powered Freemium software solution for small users.,91,1,27.21815,36.921876,39.927875,33.366381,40.855535,14
OmegaX3065,Finance,B2C,Medium,28374,2,1,A technology-driven B2C platform focused on medium financial operations.,50,1,53.152794,44.111018,50.524925,53.297836,43.466026,55
CosmicGrid752,Retail,Other,Small,93356,6,3,An AI-powered Other retail solution for small customers.,61,1,44.429897,40.367805,42.409197,50.114635,47.130475,44
PixelFlow333,Agriculture,C2C,Small,60401,5,3,A scalable agriculture solution targeting small individual users.,64,1,44.829152,38.849742,39.239263,45.35054,39.502522,41
Echo-Dynamo,Finance,Other,Small,42316,2,1,A Other financial platform serving small customers.,48,0,52.516999,44.958857,52.874637,46.946907,43.767066,57
Astra Nest,Healthcare,SaaS,Large,9482624,63,20,A digital healthcare platform using a SaaS model for large organizations.,95,1,23.476861,32.173834,34.614278,33.457009,39.592665,10
VertexLogic407,Other,C2C,Medium,348449,31,6,A digital digital services platform using a C2C model for medium individual users.,82,1,37.102172,39.995476,44.478189,32.636033,41.495491,23
AtlasSystems550,Agriculture,Advertising,Large,436807,29,8,A digital agriculture platform using a Advertising model for large audiences.,85,1,28.803097,37.747742,41.861639,37.613924,34.145548,20
Cobalt-Ignite,Manufacturing,Franchise,Small,368396,24,8,A modern manufacturing venture delivering solutions for small franchise operators.,89,1,27.338549,39.203364,41.856901,36.86454,35.135796,16
MeridianByte411,SaaS,C2C,Medium,453000,32,6,A technology-driven C2C platform focused on medium software operations.,94,1,25.504645,29.387493,36.178778,31.346169,33.65068,11
SolarShift976,SaaS,Direct Sales,Medium,1613299,18,10,A technology-driven Direct Sales platform focused on medium software operations.,95,1,29.002133,30.404151,32.139099,31.32332,38.270613,10
Titan Stack,Technology,Subscription,Large,8645146,473,16,An AI-powered Subscription technology solution for large subscribers.,95,1,24.339488,34.211749,32.124144,29.686782,39.349207,10
Nimbus-Scale,Energy,Subscription,Large,2330118,75,16,A digital energy platform using a Subscription model for large subscribers.,95,1,23.968372,34.995175,31.392812,32.489683,33.424184,10
Ruby-Link,Food & Beverage,B2G,Small,168708,27,10,A digital food and beverage platform using a B2G model for small government organizations.,83,1,30.724942,37.376029,44.127058,34.143207,38.917858,22
Nexus Byte,Agriculture,C2C,Medium,50549,5,1,A technology-driven C2C platform focused on medium agriculture operations.,59,1,44.291105,47.282047,49.546242,45.623114,47.286676,46
OrionPath40,Technology,Freemium,Medium,124318,21,9,A scalable technology solution targeting medium users.,86,1,36.168801,40.048002,35.979405,37.614752,36.183831,19
AeroStack272,SaaS,Marketplace,Medium,458985,48,10,A Marketplace software platform serving medium buyers and sellers.,95,1,24.393284,32.947579,36.06315,33.463854,34.211534,10
NeonLogic,Retail,Freemium,Large,423010,28,8,A digital retail platform using a Freemium model for large users.,84,1,28.801253,34.896214,42.185416,40.036469,33.896054,21
Raptor Shift,E-commerce,SaaS,Large,649719,49,11,A scalable e-commerce solution targeting large organizations.,95,1,24.531148,28.933368,36.248089,28.730908,38.782512,10
AtlasWave743,Retail,SaaS,Medium,212518,31,4,A digital retail platform using a SaaS model for medium organizations.,88,1,34.219245,35.642035,37.6538,35.163495,34.798902,17
MeridianTech,Finance,Freemium,Small,65875,6,2,A Freemium financial platform serving small users.,66,1,43.927118,44.763494,39.928948,41.670782,41.573784,39
Ruby-Hub,Finance,Freemium,Medium,65788,5,3,A Freemium financial platform serving medium users.,66,1,46.114583,39.627122,39.226176,39.930987,39.144397,39
Raptor-Grid,Entertainment,Subscription,Medium,184704,10,4,A modern entertainment venture delivering solutions for medium subscribers.,80,1,36.103283,33.640293,35.337015,41.89316,35.19192,25
ZenithIgnite6181,Finance,C2C,Small,34080,2,1,A scalable financial solution targeting small individual users.,49,0,48.777779,47.27274,50.697044,54.520983,47.914547,56
OmegaShift526,Finance,Advertising,Medium,50146,2,2,A Advertising financial platform serving medium audiences.,60,1,45.013295,45.413122,44.385836,50.802462,47.61036,45
Neon Bridge,Healthcare,B2B,Medium,1582572,45,11,A modern healthcare venture delivering solutions for medium businesses.,95,1,30.10939,37.141771,36.799397,32.628877,38.447344,10
Vector-Logic,Retail,Freemium,Large,132125,18,8,A modern retail venture delivering solutions for large users.,74,1,36.509096,41.948198,40.728714,44.618249,38.757818,31
VectorScale8137,Agriculture,Other,Medium,31820,4,3,A modern agriculture venture delivering solutions for medium customers.,58,1,47.36181,40.863012,46.319494,49.555666,46.729987,47
PixelGrid427,Energy,B2B,Small,175005,4,6,A scalable energy solution targeting small businesses.,85,1,36.274675,36.717644,39.615562,34.180698,42.535262,20
NexusLabs7305,Technology,Marketplace,Medium,866567,97,9,A technology-driven Marketplace platform focused on medium technology operations.,95,1,28.823042,30.894811,40.168797,33.371091,37.845184,10
AeroSphere279,Real Estate,Advertising,Medium,95048,5,1,A modern real estate venture delivering solutions for medium audiences.,59,1,41.764238,40.541776,46.124864,43.082154,45.083755,46
QuantumIgnite6609,E-commerce,Subscription,Large,1630422,97,13,A digital e-commerce platform using a Subscription model for large subscribers.,95,1,28.538847,31.59501,35.609999,35.293262,37.799204,10
Fusion-Logic,Energy,Subscription,Large,8792406,169,10,A modern energy venture delivering solutions for large subscribers.,95,1,25.600069,33.349729,35.791804,27.482941,34.5848,10
VertexIgnite175,Transportation,Subscription,Large,498550,4,10,A technology-driven Subscription platform focused on large transportation operations.,88,1,27.220056,32.371691,36.372357,39.756631,38.349255,17
VectorIgnite4689,Energy,B2B,Large,1723084,20,6,A scalable energy solution targeting large businesses.,95,1,25.597292,29.976842,35.06468,29.752238,39.733274,10
OmegaForge831,Other,Other,Small,23685,2,1,A modern digital services venture delivering solutions for small customers.,46,0,52.265454,54.013943,46.753222,47.887105,49.326847,59
LunarLink4575,Energy,B2B,Large,585815,486,13,A digital energy platform using a B2B model for large businesses.,95,1,28.893109,35.247224,32.797209,30.138707,31.581494,10
AstraX5819,Agriculture,B2B,Large,495719,23,9,An AI-powered B2B agriculture solution for large businesses.,90,1,27.730545,36.729158,40.576864,38.357695,35.460793,15
NovaPulse9835,Healthcare,Subscription,Large,3674173,406,25,A modern healthcare venture delivering solutions for large subscribers.,95,1,25.099043,36.840285,34.844789,31.10294,33.175351,10
StellarLink5838,Transportation,Advertising,Small,236215,8,6,A digital transportation platform using a Advertising model for small audiences.,81,1,30.029271,34.925105,36.592094,40.020379,40.193333,24
Meteor Pulse,Agriculture,B2C,Small,14528,2,1,A technology-driven B2C platform focused on small agriculture operations.,50,1,45.655461,43.501034,47.230593,50.67229,46.71295,55
StellarLabs250,Other,Other,Small,34438,2,1,A modern digital services venture delivering solutions for small customers.,46,0,50.027528,50.286605,49.553312,46.907042,50.70862,59
AeroTech516,Technology,SaaS,Medium,1570536,96,7,A SaaS technology platform serving medium organizations.,95,1,31.950573,32.094192,37.185012,30.79516,39.389463,10
SolarVision187,Agriculture,B2C,Medium,182871,42,6,A technology-driven B2C platform focused on medium agriculture operations.,80,1,30.904735,35.07941,42.26769,35.450869,43.866648,25
FusionWave935,Agriculture,Advertising,Medium,20754,2,0,A technology-driven Advertising platform focused on medium agriculture operations.,50,1,53.352858,51.627691,44.177327,46.997847,48.114683,55
CobaltNest1230,Healthcare,B2B,Large,1226181,22,15,A modern healthcare venture delivering solutions for large businesses.,95,1,26.734959,35.783174,37.504249,35.702414,38.973228,10
TerraScale,Healthcare,B2B,Large,5326595,142,23,An AI-powered B2B healthcare solution for large businesses.,95,1,29.196704,34.683616,39.231312,31.958145,36.221093,10
Nova Edge,Healthcare,B2G,Medium,159372,42,3,A modern healthcare venture delivering solutions for medium government organizations.,84,1,37.409871,39.938451,42.813622,38.13864,36.952613,21
Vertex-Forge,Transportation,B2G,Small,157511,10,7,A B2G transportation platform serving small government organizations.,78,1,40.250808,36.519482,38.676582,36.065972,41.544661,27
RubyIgnite,Real Estate,Advertising,Small,25180,2,1,An AI-powered Advertising real estate solution for small audiences.,49,0,51.367776,49.406531,49.764915,53.682467,42.809972,56
Omega-Edge,E-commerce,Direct Sales,Medium,564113,42,9,A scalable e-commerce solution targeting medium business customers.,95,1,30.127886,33.545874,40.161659,27.39881,33.34425,10
Terra Rise,Food & Beverage,Freemium,Medium,75593,7,1,A scalable food and beverage solution targeting medium users.,62,1,40.797694,39.892566,46.184618,48.103339,42.859557,43
SolarRise501,Technology,B2B,Large,6047640,128,25,A modern technology venture delivering solutions for large businesses.,95,1,30.838232,34.717423,37.703663,29.328229,40.655407,10
Pulse Systems,Retail,SaaS,Small,407864,7,4,A SaaS retail platform serving small organizations.,83,1,33.441088,41.96323,38.281144,36.306781,40.478284,22
FusionIgnite7592,SaaS,Franchise,Large,161984,22,6,A modern software venture delivering solutions for large franchise operators.,91,1,32.532274,32.008682,42.193048,28.990701,32.301958,14
FusionSphere757,Agriculture,B2C,Medium,65252,1,2,A scalable agriculture solution targeting medium consumers.,60,1,41.146548,45.63977,46.367121,49.997194,42.490726,45
MeteorHub8493,Other,B2C,Medium,92992,3,3,A technology-driven B2C platform focused on medium digital services operations.,63,1,46.33963,45.131991,43.390893,45.536423,39.547435,42
Pixel Bridge,Healthcare,Subscription,Medium,1854252,60,14,A Subscription healthcare platform serving medium subscribers.,95,1,30.135034,33.752011,39.48712,30.670145,32.909935,10
AeroFlow5289,Agriculture,Freemium,Small,281187,13,3,An AI-powered Freemium agriculture solution for small users.,76,1,36.842795,39.582625,39.189137,40.643962,37.796694,29
Fusion Flow,Real Estate,B2G,Large,243176,25,5,A digital real estate platform using a B2G model for large government organizations.,81,1,35.427051,38.324654,34.966243,39.268764,37.898659,24
PrimeX,Healthcare,SaaS,Large,5811171,341,15,A scalable healthcare solution targeting large organizations.,95,1,30.522724,35.588943,39.156636,29.63319,38.467396,10
ZenithWorks53,Technology,Subscription,Large,5820145,342,18,A scalable technology solution targeting large subscribers.,95,1,29.084999,37.533738,37.768078,28.124206,36.388929,10
NovaLogic7428,Energy,Subscription,Large,1012746,92,24,A Subscription energy platform serving large subscribers.,95,1,28.901161,37.536247,34.066034,30.611639,39.234546,10
AeroRise,Other,B2C,Small,67843,4,4,A technology-driven B2C platform focused on small digital services operations.,63,1,44.597809,43.456178,46.471818,40.099135,41.263143,42
RaptorEdge572,Real Estate,Marketplace,Small,240156,35,5,An AI-powered Marketplace real estate solution for small buyers and sellers.,82,1,33.149181,33.516865,44.148487,41.984656,39.586287,23
ZenithSync,Technology,Subscription,Large,3985353,97,25,An AI-powered Subscription technology solution for large subscribers.,95,1,25.841323,34.829322,40.520384,35.736636,34.228564,10
Nexus Sync,Other,B2G,Small,343795,39,2,A B2G digital services platform serving small government organizations.,80,1,37.115719,34.873002,41.729743,35.363693,42.108693,25
Titan-Drive,Agriculture,Advertising,Medium,23252,1,1,A modern agriculture venture delivering solutions for medium audiences.,50,1,51.973616,43.445372,48.115941,49.525876,49.386335,55
Crimson Edge,E-commerce,Subscription,Large,1112626,50,9,A technology-driven Subscription platform focused on large e-commerce operations.,95,1,27.984114,29.452898,39.184824,35.779505,36.544188,10
MeteorDynamo8773,Other,Direct Sales,Large,360301,3,6,A Direct Sales digital services platform serving large business customers.,81,1,38.25462,36.110702,37.67054,41.452536,37.974648,24
Astra Path,Education,C2C,Small,216325,12,8,A C2C education platform serving small individual users.,82,1,38.941938,42.020693,39.867261,40.044111,41.597242,23
VertexNest6173,Energy,SaaS,Large,8557756,473,18,A scalable energy solution targeting large organizations.,95,1,26.062451,32.948048,40.28124,32.081218,34.00948,10
PulseStack,Technology,Subscription,Large,1792376,53,11,A scalable technology solution targeting large subscribers.,95,1,23.778849,32.598206,35.74811,31.935271,38.540056,10
RaptorSystems,Energy,Marketplace,Small,282504,43,6,A modern energy venture delivering solutions for small buyers and sellers.,93,1,33.277532,32.893845,39.849394,34.099485,39.898179,12
LunarStack551,Entertainment,Advertising,Large,463344,45,9,A modern entertainment venture delivering solutions for large audiences.,88,1,30.256348,35.31395,36.019254,36.802952,35.19854,17
Cosmic Link,Energy,Marketplace,Small,316383,36,6,A modern energy venture delivering solutions for small buyers and sellers.,93,1,27.592864,34.157961,39.961449,34.286595,36.768643,12
Meridian-Systems,Retail,Other,Medium,27048,2,1,A modern retail venture delivering solutions for medium customers.,46,0,47.77053,45.351214,47.07914,46.842325,43.050592,59
PrimeX2445,Manufacturing,B2B,Medium,1790126,96,14,A scalable manufacturing solution targeting medium businesses.,95,1,32.0088,30.497766,39.244107,33.589791,32.254892,10
Fusion-Shift,Healthcare,Direct Sales,Large,533339,81,15,A modern healthcare venture delivering solutions for large business customers.,95,1,24.540372,28.633255,31.552162,35.873768,40.796659,10
Vector Rise,Food & Beverage,Freemium,Medium,88159,7,1,A Freemium food and beverage platform serving medium users.,62,1,48.289156,42.881994,40.236966,47.841023,40.450339,43
MeteorLink919,Transportation,C2C,Medium,45788,3,1,A scalable transportation solution targeting medium individual users.,55,1,44.445635,46.259607,42.057112,43.246645,44.040751,50
PixelLink785,E-commerce,B2B,Large,3588709,469,19,A B2B e-commerce platform serving large businesses.,95,1,28.789547,34.434536,31.502382,27.870026,32.857048,10
Zenith Forge,Real Estate,Advertising,Medium,45038,1,0,A technology-driven Advertising platform focused on medium real estate operations.,49,0,48.83922,50.952087,43.001912,47.273964,47.641357,56
PixelVision,Transportation,C2C,Medium,482485,39,5,A technology-driven C2C platform focused on medium transportation operations.,80,1,33.889472,37.878586,36.031459,35.970855,37.395478,25
Spectra-Dynamo,SaaS,B2B,Large,175221,14,9,A modern software venture delivering solutions for large businesses.,90,1,34.578415,35.557719,33.829752,36.487804,41.288711,15
LunarShift900,E-commerce,B2B,Medium,731442,38,5,A B2B e-commerce platform serving medium businesses.,92,1,24.359934,34.560351,36.044106,34.415984,32.672943,13
RubyNest6746,Food & Beverage,Freemium,Small,41900,7,4,A technology-driven Freemium platform focused on small food and beverage operations.,62,1,40.516746,44.863762,44.37107,47.186139,44.78935,43
Titan-Tech,Healthcare,Subscription,Medium,1898647,81,15,A Subscription healthcare platform serving medium subscribers.,95,1,30.725257,35.838347,40.710776,32.98288,38.715809,10
StellarPath320,Agriculture,Other,Small,331838,10,4,A Other agriculture platform serving small customers.,73,1,42.641425,40.4342,37.935169,44.189679,36.582402,32
Aero-Sphere,E-commerce,SaaS,Large,1462872,34,15,A digital e-commerce platform using a SaaS model for large organizations.,95,1,25.837487,36.171062,33.351921,29.132066,39.278216,10
CrimsonFlow259,Real Estate,C2C,Medium,12350,1,1,A modern real estate venture delivering solutions for medium individual users.,48,0,49.403369,49.097801,45.62006,49.45126,48.225446,57
QuantumScale2501,Transportation,Freemium,Small,173025,8,8,An AI-powered Freemium transportation solution for small users.,77,1,40.115142,39.026491,40.757509,41.013019,37.432887,28
Cobalt X,Technology,B2B,Large,314280,43,5,An AI-powered B2B technology solution for large businesses.,90,1,32.567232,39.457575,34.213614,32.668304,33.326336,15
PulseNest135,Agriculture,Advertising,Medium,47116,5,1,A technology-driven Advertising platform focused on medium agriculture operations.,55,1,43.597863,47.560577,44.046378,45.611106,42.943988,50
HyperPulse,Agriculture,Other,Small,19925,1,0,A modern agriculture venture delivering solutions for small customers.,48,0,52.91116,46.946018,48.308337,53.866637,41.114072,57
PixelCore,Real Estate,Freemium,Medium,79777,3,3,A scalable real estate solution targeting medium users.,65,1,39.322082,43.615155,41.493,48.407425,37.707059,40
Silver-Core,Finance,C2C,Small,32743,6,4,A digital financial platform using a C2C model for small individual users.,59,1,43.789817,40.386569,40.304693,42.078118,42.292084,46
VectorSync127,Finance,Advertising,Small,49155,2,1,A modern financial venture delivering solutions for small audiences.,50,1,48.335646,47.564852,46.157572,45.750327,46.059561,55
CyberGrid50,SaaS,B2B,Large,8995582,194,17,A scalable software solution targeting large businesses.,95,1,25.782823,33.694186,39.26147,36.106402,39.730067,10
Stellar Forge,Entertainment,Direct Sales,Large,387328,48,8,A digital entertainment platform using a Direct Sales model for large business customers.,91,1,28.161717,31.431422,37.844289,37.320428,39.857262,14
RubyPulse60,Manufacturing,Subscription,Medium,1844012,44,11,An AI-powered Subscription manufacturing solution for medium subscribers.,95,1,27.065868,36.08289,33.104836,27.254896,40.134516,10
Hyper Sync,Energy,SaaS,Large,2954465,420,22,A modern energy venture delivering solutions for large organizations.,95,1,31.994537,35.596442,34.623682,27.838926,31.348125,10
CrimsonIgnite6842,Other,Other,Medium,19995,1,1,A digital digital services platform using a Other model for medium customers.,46,0,47.243021,47.60114,46.195043,49.181471,49.656184,59
Hyper X,Energy,SaaS,Medium,1203991,99,9,A modern energy venture delivering solutions for medium organizations.,95,1,24.234452,29.513805,35.296099,34.796569,35.723929,10
MeridianVision453,Energy,Subscription,Large,7433138,284,21,An AI-powered Subscription energy solution for large subscribers.,95,1,29.158293,34.857662,32.777653,34.410358,32.205289,10
Meteor-Forge,Technology,Marketplace,Large,375724,45,8,A scalable technology solution targeting large buyers and sellers.,93,1,30.627814,38.234166,32.907857,29.064403,41.281144,12
MeteorLogic4548,Manufacturing,Subscription,Medium,451390,25,8,A digital manufacturing platform using a Subscription model for medium subscribers.,95,1,32.214579,33.201769,32.753506,33.382971,36.267007,10
Hyper-Labs,Food & Beverage,Advertising,Small,360389,46,9,An AI-powered Advertising food and beverage solution for small audiences.,86,1,30.88895,38.643144,35.889462,38.381145,39.296865,19
Neon-Scale,Retail,B2C,Medium,24901,1,0,A modern retail venture delivering solutions for medium consumers.,48,0,47.163262,48.272233,48.179476,50.583312,45.084382,57
Hyper Sphere,E-commerce,Direct Sales,Large,394425,37,6,A Direct Sales e-commerce platform serving large business customers.,90,1,32.90891,35.409261,34.743864,34.861147,34.917834,15
StellarEdge148,E-commerce,Subscription,Large,3805835,175,10,A Subscription e-commerce platform serving large subscribers.,95,1,24.453066,38.280135,37.579233,30.309235,33.712819,10
Neon Flow,E-commerce,Subscription,Large,9401486,405,16,A modern e-commerce venture delivering solutions for large subscribers.,95,1,26.642602,36.065762,38.880983,32.630157,39.20723,10
StellarLink,Retail,Other,Medium,41684,1,0,An AI-powered Other retail solution for medium customers.,46,0,52.283083,52.63366,51.5163,52.226173,42.631184,59
StellarGrid,SaaS,Direct Sales,Medium,1183888,85,6,A scalable software solution targeting medium business customers.,95,1,29.848927,36.671497,36.564527,34.081424,35.888388,10
Raptor-Vision,Finance,Other,Small,99415,4,1,A Other financial platform serving small customers.,58,1,41.06495,48.47839,45.017033,51.440626,38.685197,47
QuantumIgnite,Healthcare,B2B,Large,9176998,98,16,An AI-powered B2B healthcare solution for large businesses.,95,1,31.186605,29.700881,32.053879,31.055578,32.815077,10
Solar-X,Retail,B2C,Medium,18232,1,1,A modern retail venture delivering solutions for medium consumers.,48,0,52.555985,50.063515,51.364828,54.301522,43.32362,57
Neon-Hub,Healthcare,SaaS,Large,4650913,181,19,A digital healthcare platform using a SaaS model for large organizations.,95,1,30.226768,37.739855,34.455584,30.580936,32.528085,10
AtlasSphere174,Energy,Direct Sales,Large,1033722,78,7,A modern energy venture delivering solutions for large business customers.,95,1,32.458785,37.870753,38.338027,27.237561,36.129658,10
OrionDrive8991,Agriculture,Advertising,Medium,28468,2,0,A modern agriculture venture delivering solutions for medium audiences.,50,1,53.727565,44.223171,46.702523,45.928278,48.957553,55
Meteor-Grid,Other,C2C,Small,11371,2,1,A modern digital services venture delivering solutions for small individual users.,47,0,52.847106,50.535248,46.41769,50.277886,48.168065,58
Vertex Flow,Technology,SaaS,Medium,1989359,34,10,A modern technology venture delivering solutions for medium organizations.,95,1,23.389498,35.305627,36.219417,31.170718,37.334165,10
Nova X,Real Estate,B2C,Small,56901,5,2,A digital real estate platform using a B2C model for small consumers.,64,1,38.175393,43.979559,44.674444,40.518034,38.370942,41
RaptorEdge4072,Manufacturing,SaaS,Medium,370013,19,7,An AI-powered SaaS manufacturing solution for medium organizations.,93,1,27.349659,38.220856,37.846277,33.391942,41.139828,12
AtlasDynamo969,E-commerce,Subscription,Large,4337528,200,21,A technology-driven Subscription platform focused on large e-commerce operations.,95,1,27.888396,28.594403,39.617772,36.566579,40.704417,10
PixelCascade,Technology,B2B,Small,115421,19,6,A scalable technology solution targeting small businesses.,85,1,29.612906,37.099566,37.813894,35.410255,36.21164,20
PulseLogic927,Finance,B2C,Medium,287741,17,7,A B2C financial platform serving medium consumers.,80,1,30.277496,35.344684,35.8815,37.858244,35.826347,25
SilverFlow,Other,Other,Medium,355344,29,2,A technology-driven Other platform focused on medium digital services operations.,76,1,37.015706,36.668144,42.816236,43.791111,40.632477,29
SolarEdge729,Real Estate,C2C,Medium,41738,1,0,A modern real estate venture delivering solutions for medium individual users.,48,0,47.038852,45.576866,51.180494,49.961009,47.214444,57
FusionByte1920,E-commerce,SaaS,Large,5525602,486,11,A technology-driven SaaS platform focused on large e-commerce operations.,95,1,29.267508,30.464572,34.175813,34.196707,31.118993,10
VertexShift,Food & Beverage,C2C,Medium,63375,7,2,A digital food and beverage platform using a C2C model for medium individual users.,65,1,42.396787,39.679653,43.862497,43.881346,42.536568,40
PrimeCore568,Food & Beverage,Freemium,Medium,41879,3,1,A scalable food and beverage solution targeting medium users.,57,1,45.028637,43.292519,45.451199,46.860609,43.2689,48
TitanWorks753,Food & Beverage,C2C,Medium,42097,3,0,A C2C food and beverage platform serving medium individual users.,55,1,47.836536,46.500842,44.665218,45.862383,46.340889,50
QuantumSphere8556,E-commerce,Subscription,Large,2739148,248,18,A technology-driven Subscription platform focused on large e-commerce operations.,95,1,27.93221,29.430703,33.317397,31.670729,31.31836,10
EchoTech6186,Agriculture,C2C,Small,18806,1,0,A modern agriculture venture delivering solutions for small individual users.,49,0,46.758774,45.026345,51.432243,49.214716,48.815332,56
CrimsonHub9607,Technology,SaaS,Large,8656567,294,10,A technology-driven SaaS platform focused on large technology operations.,95,1,26.160046,35.403695,36.47009,29.289304,40.023551,10
AstraSphere,E-commerce,Marketplace,Medium,745621,34,14,A digital e-commerce platform using a Marketplace model for medium buyers and sellers.,95,1,31.258571,35.816989,37.889526,31.431127,32.331353,10
Nova Grid,Technology,SaaS,Large,675969,46,8,A scalable technology solution targeting large organizations.,95,1,26.704406,35.588623,36.046957,36.826943,37.294555,10
AtlasStack215,Healthcare,SaaS,Large,5180471,474,23,A SaaS healthcare platform serving large organizations.,95,1,24.113398,29.115665,33.398839,32.407161,40.668512,10
Titan Vision,Energy,B2B,Medium,1252744,40,14,A digital energy platform using a B2B model for medium businesses.,95,1,32.381284,35.968542,33.672121,36.927206,40.386249,10
Zenith Rise,Healthcare,SaaS,Large,8717975,101,25,A scalable healthcare solution targeting large organizations.,95,1,29.01748,28.490801,33.750047,31.856801,33.976812,10
Silver-Edge,Real Estate,B2C,Medium,31772,2,0,A technology-driven B2C platform focused on medium real estate operations.,49,0,51.627856,49.371701,52.577031,49.772383,40.494916,56
QuantumDrive2503,Manufacturing,Subscription,Large,1024010,64,10,A modern manufacturing venture delivering solutions for large subscribers.,95,1,23.001934,29.914695,33.761777,33.700512,37.777392,10
OrionWave,Technology,B2C,Medium,437408,41,5,A technology-driven B2C platform focused on medium technology operations.,85,1,35.93049,31.714815,40.533925,36.614146,35.566331,20
Vertex Hub,Technology,Subscription,Large,476689,33,2,A Subscription technology platform serving large subscribers.,92,1,29.987928,30.798492,32.205454,32.934284,37.975949,13
NexusSphere804,Energy,SaaS,Large,8640101,427,12,An AI-powered SaaS energy solution for large organizations.,95,1,28.011494,36.229381,33.605919,30.421186,36.886331,10
VectorCascade282,Healthcare,B2B,Large,9180799,402,20,A modern healthcare venture delivering solutions for large businesses.,95,1,26.377409,36.095732,31.373952,34.700108,39.133657,10
AtlasWave4069,Technology,Direct Sales,Medium,1209638,34,9,A scalable technology solution targeting medium business customers.,95,1,29.507667,33.829611,33.694018,28.460535,39.922069,10
Astra Vision,Retail,Franchise,Medium,465350,5,10,A technology-driven Franchise platform focused on medium retail operations.,79,1,40.49672,35.315767,39.071711,35.688156,36.250076,26
CyberShift907,Real Estate,Direct Sales,Large,331534,38,8,A scalable real estate solution targeting large business customers.,87,1,33.531061,40.358215,37.233551,38.607854,41.344326,18
